sample_number,business_id,company_name,financial_period_start,financial_period_end,registration_date,revenue_eur,operating_profit_eur,profit_before_tax_eur,net_profit_eur,total_assets_eur,equity_eur,liabilities_eur,cash_and_bank_eur,operating_cash_flow_eur,investing_cash_flow_eur,dividends_paid_eur,fact_rows_in_csv,source_url
1,0100123-2,Oy Emar Ab,2025-06-01,2026-05-31,2026-06-30,106759.43,-76637.40,-75407.83,-75390.48,7227220.66,7204923.46,22297.20,365629.52,,,,72,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0100123-2&financialDate=2026-05-31
2,0106659-7,Art House Oy,2025-01-01,2025-12-31,2026-06-30,713196.98,-55297.92,-59133.19,-59133.19,343799.85,42730.14,301069.71,673.91,,,,94,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0106659-7&financialDate=2025-12-31
3,0110175-1,Koneteollisuus Oy,2024-10-01,2025-09-30,2025-12-19,6460585.21,861020.47,771062.56,58896.47,7289571.75,2209692.80,5079878.95,3079875.86,,,,116,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0110175-1&financialDate=2025-09-30
4,0113024-5,Putkiyhtymä Oy,2024-01-01,2024-12-31,2025-07-15,9656273.08,129974.95,348049.05,315840.94,23052185.98,23041423.32,10762.66,589023.21,,,,104,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0113024-5&financialDate=2024-12-31
5,0945992-6,Pudasjärven Puutarha Kukkahuone Oy,2024-10-01,2025-09-30,2026-07-09,253299.13,-358.46,520.85,-385.37,127290.67,97793.04,29497.63,60374.80,,,,104,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0945992-6&financialDate=2025-09-30
6,0947114-0,Lahden Väriasemointi Oy,2025-03-01,2026-02-28,2026-09-09,35903.44,3537.44,856.58,856.58,30503.11,-91433.10,121936.21,206.59,,,,80,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0947114-0&financialDate=2026-02-28
7,0948009-8,Oy Chic Catering Ab,2025-01-01,2025-12-31,2026-04-25,415949.23,31742.80,61131.70,48289.41,552349.83,462583.67,89766.16,5362.37,,,,100,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0948009-8&financialDate=2025-12-31
8,0949268-9,Lapuan Jatepic Oy,2023-01-01,2023-12-31,2024-05-01,52.50,-3445.56,2973.03,2973.03,140579.41,140579.41,0.00,1313.39,,,,58,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0949268-9&financialDate=2023-12-31
9,1890244-0,Nacka Invest Oy,2025-01-01,2025-12-31,2026-07-02,,17579.47,7281.06,5824.87,363221.28,162674.04,200547.24,6518.17,,,,82,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=1890244-0&financialDate=2025-12-31
10,1892111-5,Bergent Oy,2024-01-01,2024-12-31,2025-07-29,703574.00,-9315.87,-13728.74,-13728.74,195147.31,83687.62,111459.69,20031.78,,,,98,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=1892111-5&financialDate=2024-12-31
11,1896344-6,Proinno Oy,2024-07-01,2025-12-31,2026-08-28,146537.12,-80908.44,-59561.42,-59566.72,258061.20,243521.61,14539.59,9587.79,,,,98,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=1896344-6&financialDate=2025-12-31
12,1899403-1,Kiinteistö Oy Kuopion Kolmisopentie 18,2021-01-01,2021-12-31,2024-01-16,44099.16,-21496.08,29414.94,23531.94,358080.20,142224.50,215855.70,34705.99,,,,74,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=1899403-1&financialDate=2021-12-31
13,2322943-0,Vuokatinranta Oy,2025-01-01,2025-12-31,2026-05-28,,-16806.42,-16896.59,-16896.59,835681.81,23059.37,812622.44,19031.68,,,,78,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=2322943-0&financialDate=2025-12-31
14,2325071-5,LWK-Tekniikka Oy,2025-01-01,2025-12-31,2026-03-20,271327.45,22920.85,22346.37,22346.37,126925.17,37886.48,89038.69,9092.50,,,,92,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=2325071-5&financialDate=2025-12-31
15,2327074-0,Clearone Finland Oy,2025-01-01,2025-12-31,2026-01-29,52766.76,-2175.50,-2302.27,-2302.27,47946.21,45007.51,2938.70,36980.14,,,,78,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=2327074-0&financialDate=2025-12-31
16,2328418-1,EP:n Apuvälinekeskus Oy,2022-04-01,2023-03-31,2023-08-23,325987.15,57724.30,57743.48,46198.65,147111.48,132234.98,14876.50,60413.14,,,,94,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=2328418-1&financialDate=2023-03-31
17,2629656-7,FIREHORSE OY,2024-07-01,2025-06-30,2025-10-08,286690.27,38630.27,38629.79,38629.79,72940.62,12535.12,60405.50,23738.60,,,,82,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=2629656-7&financialDate=2025-06-30
