sample_number,business_id,company_name,filing_financial_date,registration_date,context_period_type,context_start_date,context_end_date,taxonomy_code,taxonomy_label_fi,metric_code,metric_label_fi,value,unit,decimals,context_dimensions,source_url
1,0100123-2,Oy Emar Ab,2026-05-31,2026-06-30,instant,,2026-05-31,x1760,Muu vaihto-omaisuus,mi53,Kirjanpitoarvo,6839370.72,ISO4217_EUR,2,MCY=x1760,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0100123-2&financialDate=2026-05-31
1,0100123-2,Oy Emar Ab,2026-05-31,2026-06-30,instant,,2025-05-31,x1760,Muu vaihto-omaisuus,mi53,Kirjanpitoarvo,6922677.67,ISO4217_EUR,2,MCY=x1760;REF=x4,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0100123-2&financialDate=2026-05-31
1,0100123-2,Oy Emar Ab,2026-05-31,2026-06-30,instant,,2026-05-31,x807,Vaihto-omaisuus,mi53,Kirjanpitoarvo,6839370.72,ISO4217_EUR,2,MCY=x807,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0100123-2&financialDate=2026-05-31
1,0100123-2,Oy Emar Ab,2026-05-31,2026-06-30,instant,,2025-05-31,x807,Vaihto-omaisuus,mi53,Kirjanpitoarvo,6922677.67,ISO4217_EUR,2,MCY=x807;REF=x4,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0100123-2&financialDate=2026-05-31
1,0100123-2,Oy Emar Ab,2026-05-31,2026-06-30,instant,,2026-05-31,x1771,Lyhytaikaiset muut saamiset,mi53,Kirjanpitoarvo,12.29,ISO4217_EUR,2,MCY=x1771,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0100123-2&financialDate=2026-05-31
1,0100123-2,Oy Emar Ab,2026-05-31,2026-06-30,instant,,2025-05-31,x1771,Lyhytaikaiset muut saamiset,mi53,Kirjanpitoarvo,5827.76,ISO4217_EUR,2,MCY=x1771;REF=x4,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0100123-2&financialDate=2026-05-31
1,0100123-2,Oy Emar Ab,2026-05-31,2026-06-30,instant,,2026-05-31,x1775,Lyhytaikaiset siirtosaamiset,mi53,Kirjanpitoarvo,22208.13,ISO4217_EUR,2,MCY=x1775,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0100123-2&financialDate=2026-05-31
1,0100123-2,Oy Emar Ab,2026-05-31,2026-06-30,instant,,2025-05-31,x1775,Lyhytaikaiset siirtosaamiset,mi53,Kirjanpitoarvo,1883.72,ISO4217_EUR,2,MCY=x1775;REF=x4,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0100123-2&financialDate=2026-05-31
1,0100123-2,Oy Emar Ab,2026-05-31,2026-06-30,instant,,2026-05-31,x1768,Lyhytaikaiset saamiset,mi53,Kirjanpitoarvo,22220.42,ISO4217_EUR,2,MCY=x1768,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0100123-2&financialDate=2026-05-31
1,0100123-2,Oy Emar Ab,2026-05-31,2026-06-30,instant,,2025-05-31,x1768,Lyhytaikaiset saamiset,mi53,Kirjanpitoarvo,7711.48,ISO4217_EUR,2,MCY=x1768;REF=x4,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0100123-2&financialDate=2026-05-31
1,0100123-2,Oy Emar Ab,2026-05-31,2026-06-30,instant,,2026-05-31,x438,Saamiset,mi53,Kirjanpitoarvo,22220.42,ISO4217_EUR,2,MCY=x438,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0100123-2&financialDate=2026-05-31
1,0100123-2,Oy Emar Ab,2026-05-31,2026-06-30,instant,,2025-05-31,x438,Saamiset,mi53,Kirjanpitoarvo,7711.48,ISO4217_EUR,2,MCY=x438;REF=x4,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0100123-2&financialDate=2026-05-31
1,0100123-2,Oy Emar Ab,2026-05-31,2026-06-30,instant,,2026-05-31,x399,Rahat ja pankkisaamiset,mi53,Kirjanpitoarvo,365629.52,ISO4217_EUR,2,MCY=x399,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0100123-2&financialDate=2026-05-31
1,0100123-2,Oy Emar Ab,2026-05-31,2026-06-30,instant,,2025-05-31,x399,Rahat ja pankkisaamiset,mi53,Kirjanpitoarvo,778147.04,ISO4217_EUR,2,MCY=x399;REF=x4,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0100123-2&financialDate=2026-05-31
1,0100123-2,Oy Emar Ab,2026-05-31,2026-06-30,instant,,2026-05-31,x435,Vaihtuvat vastaavat,mi53,Kirjanpitoarvo,7227220.66,ISO4217_EUR,2,MCY=x435,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0100123-2&financialDate=2026-05-31
1,0100123-2,Oy Emar Ab,2026-05-31,2026-06-30,instant,,2025-05-31,x435,Vaihtuvat vastaavat,mi53,Kirjanpitoarvo,7708536.19,ISO4217_EUR,2,MCY=x435;REF=x4,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0100123-2&financialDate=2026-05-31
1,0100123-2,Oy Emar Ab,2026-05-31,2026-06-30,instant,,2026-05-31,x360,Vastaavaa,mi53,Kirjanpitoarvo,7227220.66,ISO4217_EUR,2,MCY=x360,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0100123-2&financialDate=2026-05-31
1,0100123-2,Oy Emar Ab,2026-05-31,2026-06-30,instant,,2025-05-31,x360,Vastaavaa,mi53,Kirjanpitoarvo,7708536.19,ISO4217_EUR,2,MCY=x360;REF=x4,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0100123-2&financialDate=2026-05-31
1,0100123-2,Oy Emar Ab,2026-05-31,2026-06-30,instant,,2026-05-31,x4116,"Osake-, osuus- tai muu vastaava pääoma",mi53,Kirjanpitoarvo,33637.59,ISO4217_EUR,2,MCY=x4116,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0100123-2&financialDate=2026-05-31
1,0100123-2,Oy Emar Ab,2026-05-31,2026-06-30,instant,,2025-05-31,x4116,"Osake-, osuus- tai muu vastaava pääoma",mi53,Kirjanpitoarvo,33637.59,ISO4217_EUR,2,MCY=x4116;REF=x4,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0100123-2&financialDate=2026-05-31
1,0100123-2,Oy Emar Ab,2026-05-31,2026-06-30,instant,,2026-05-31,x925,Vararahasto,mi53,Kirjanpitoarvo,16902.89,ISO4217_EUR,2,MCY=x925,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0100123-2&financialDate=2026-05-31
1,0100123-2,Oy Emar Ab,2026-05-31,2026-06-30,instant,,2025-05-31,x925,Vararahasto,mi53,Kirjanpitoarvo,16902.89,ISO4217_EUR,2,MCY=x925;REF=x4,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0100123-2&financialDate=2026-05-31
1,0100123-2,Oy Emar Ab,2026-05-31,2026-06-30,instant,,2026-05-31,x932,Edellisten tilikausien voitto (tappio),mi53,Kirjanpitoarvo,7229773.46,ISO4217_EUR,2,MCY=x932,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0100123-2&financialDate=2026-05-31
1,0100123-2,Oy Emar Ab,2026-05-31,2026-06-30,instant,,2025-05-31,x932,Edellisten tilikausien voitto (tappio),mi53,Kirjanpitoarvo,6846139.93,ISO4217_EUR,2,MCY=x932;REF=x4,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0100123-2&financialDate=2026-05-31
1,0100123-2,Oy Emar Ab,2026-05-31,2026-06-30,instant,,2026-05-31,x2895,"Tilikauden voitto (tappio), oma pääoma",mi53,Kirjanpitoarvo,-75390.48,ISO4217_EUR,2,MCY=x2895,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0100123-2&financialDate=2026-05-31
1,0100123-2,Oy Emar Ab,2026-05-31,2026-06-30,instant,,2025-05-31,x2895,"Tilikauden voitto (tappio), oma pääoma",mi53,Kirjanpitoarvo,656673.53,ISO4217_EUR,2,MCY=x2895;REF=x4,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0100123-2&financialDate=2026-05-31
1,0100123-2,Oy Emar Ab,2026-05-31,2026-06-30,instant,,2026-05-31,x376,Oma pääoma,mi53,Kirjanpitoarvo,7204923.46,ISO4217_EUR,2,MCY=x376,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0100123-2&financialDate=2026-05-31
1,0100123-2,Oy Emar Ab,2026-05-31,2026-06-30,instant,,2025-05-31,x376,Oma pääoma,mi53,Kirjanpitoarvo,7553353.94,ISO4217_EUR,2,MCY=x376;REF=x4,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0100123-2&financialDate=2026-05-31
1,0100123-2,Oy Emar Ab,2026-05-31,2026-06-30,instant,,2026-05-31,x1819,Lyhytaikaiset ostovelat,mi53,Kirjanpitoarvo,14727.21,ISO4217_EUR,2,MCY=x1819,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0100123-2&financialDate=2026-05-31
1,0100123-2,Oy Emar Ab,2026-05-31,2026-06-30,instant,,2025-05-31,x1819,Lyhytaikaiset ostovelat,mi53,Kirjanpitoarvo,2315.43,ISO4217_EUR,2,MCY=x1819;REF=x4,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0100123-2&financialDate=2026-05-31
1,0100123-2,Oy Emar Ab,2026-05-31,2026-06-30,instant,,2026-05-31,x1825,Lyhytaikaiset muut velat,mi53,Kirjanpitoarvo,-0.01,ISO4217_EUR,2,MCY=x1825,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0100123-2&financialDate=2026-05-31
1,0100123-2,Oy Emar Ab,2026-05-31,2026-06-30,instant,,2025-05-31,x1825,Lyhytaikaiset muut velat,mi53,Kirjanpitoarvo,3108.39,ISO4217_EUR,2,MCY=x1825;REF=x4,https://avoindata.prh.fi/opendata-xbrl-api/v3/financial?businessId=0100123-2&financialDate=2026-05-31
